timestamp,elapsed_ms,acc_x,acc_y,acc_z,acc_magnitude,gyro_x,gyro_y,gyro_z,gyro_magnitude
1756077394161,14,-1.784877,8.465299,4.630985,9.812904,0.002796,0.015979,-0.006791,0.017586
1756077394163,16,-1.832761,8.508394,4.540005,9.816488,0.002796,0.015979,-0.006791,0.017586
1756077394164,17,-1.856703,8.527548,4.587889,9.859775,0.002796,0.015979,-0.006791,0.017586
1756077394165,18,-1.914164,8.465299,4.477756,9.766043,0.002796,0.015979,-0.006791,0.017586
1756077394166,19,-1.847127,8.436568,4.391564,9.688828,0.002796,0.015979,-0.006791,0.017586
1756077394167,20,-1.813608,8.465299,4.396353,9.709705,0.002796,0.015979,-0.006791,0.017586
1756077394168,21,-1.722628,8.417415,4.501698,9.699773,0.002796,0.015979,-0.006791,0.017586
1756077394207,60,-1.722628,8.417415,4.501698,9.699773,-0.035021,-0.047937,0.009055,0.060053
1756077394270,123,-1.756147,8.450933,4.549582,9.757101,-0.035021,-0.047937,0.009055,0.060053
1756077394272,125,-1.823185,8.450933,4.544794,9.767160,-0.035021,-0.047937,0.009055,0.060053
1756077394277,130,-1.847127,8.460510,4.602254,9.806776,-0.035021,-0.047937,0.009055,0.060053
1756077394281,134,-1.875857,8.436568,4.635773,9.807391,-0.035021,-0.047937,0.009055,0.060053
1756077394284,137,-1.770512,8.470087,4.654927,9.825753,-0.035021,-0.047937,0.009055,0.060053
1756077394287,140,-1.775301,8.460510,4.654927,9.818364,-0.035021,-0.047937,0.009055,0.060053
1756077394289,142,-1.775301,8.460510,4.654927,9.818364,-0.028762,-0.026765,0.001598,0.039321
1756077394308,161,-1.775301,8.460510,4.654927,9.818364,-0.005060,-0.010653,0.008788,0.014708
1756077394370,223,-1.871069,8.436568,4.621408,9.799694,-0.005060,-0.010653,0.008788,0.014708
1756077394373,226,-1.765724,8.465299,4.525640,9.760147,-0.005060,-0.010653,0.008788,0.014708
1756077394377,230,-1.775301,8.436568,4.468179,9.710406,-0.005060,-0.010653,0.008788,0.014708
1756077394379,232,-1.799243,8.431780,4.458602,9.706251,-0.005060,-0.010653,0.008788,0.014708
1756077394383,236,-1.746570,8.446145,4.516063,9.735641,-0.005060,-0.010653,0.008788,0.014708
1756077394406,259,-1.746570,8.446145,4.516063,9.735641,-0.017311,-0.023303,0.012117,0.031456
1756077394408,261,-1.732205,8.426991,4.563947,9.738806,-0.017311,-0.023303,0.012117,0.031456
1756077394411,264,-1.736993,8.436568,4.616620,9.772717,-0.017311,-0.023303,0.012117,0.031456
