timestamp,elapsed_ms,acc_x,acc_y,acc_z,acc_magnitude,gyro_x,gyro_y,gyro_z,gyro_magnitude
1756078088919,1745,-2.749741,-9.303269,8.721478,13.045156,-2.737728,0.839694,0.116646,2.865981
1756078089028,1854,-1.591546,-9.518148,7.327454,12.116920,-2.737728,0.839694,0.116646,2.865981
1756078089034,1860,-1.591546,-9.518148,7.327454,12.116920,-2.083389,1.137169,0.203332,2.382228
1756078089046,1872,-2.933496,-10.260950,5.345055,11.935749,-2.083389,1.137169,0.203332,2.382228
1756078089053,1879,-2.933496,-10.260950,5.345055,11.935749,-1.598162,1.210006,-0.039814,2.004949
1756078089096,1922,-2.933496,-10.260950,5.345055,11.935749,-0.857537,0.278833,-0.008389,0.901769
1756078089100,1926,-3.570952,-10.978013,5.649119,12.852276,-0.857537,0.278833,-0.008389,0.901769
1756078089218,2044,-3.140594,-8.162432,0.172383,8.747476,-0.857537,0.278833,-0.008389,0.901769
1756078089221,2047,-3.140594,-8.162432,0.172383,8.747476,0.053396,0.403469,0.276969,0.492290
1756078089278,2104,-5.416882,-9.053075,4.120421,11.326016,0.053396,0.403469,0.276969,0.492290
1756078089281,2107,-5.416882,-9.053075,4.120421,11.326016,-0.785099,0.252334,0.145142,0.837329
1756078089337,2163,-3.923498,-8.859743,3.542221,10.316793,-0.785099,0.252334,0.145142,0.837329
1756078089340,2166,-3.923498,-8.859743,3.542221,10.316793,-0.199737,-0.488956,0.088284,0.535506
1756078089399,2225,-3.747524,-9.044097,2.721609,10.161042,-0.199737,-0.488956,0.088284,0.535506
1756078089402,2228,-3.747524,-9.044097,2.721609,10.161042,-0.102532,-0.020240,-0.041945,0.112613
1756078089458,2284,-3.747524,-9.044097,2.721609,10.161042,-0.207194,-0.251935,0.180429,0.372767
1756078089461,2287,-2.583344,-8.499416,3.024475,9.384093,-0.207194,-0.251935,0.180429,0.372767
1756078089519,2345,-3.164536,-8.307281,2.329558,9.189780,-0.207194,-0.251935,0.180429,0.372767
1756078089522,2348,-3.164536,-8.307281,2.329558,9.189780,-0.063250,-0.003196,-0.168977,0.180455
1756078089599,2425,-3.164536,-8.307281,2.329558,9.189780,-0.312655,0.194810,-0.104662,0.382960
1756078089602,2428,-4.049792,-9.196129,2.191293,10.284521,-0.312655,0.194810,-0.104662,0.382960
1756078089670,2496,-3.358466,-9.141661,3.963002,10.514497,-0.312655,0.194810,-0.104662,0.382960
1756078089681,2507,-3.358466,-9.141661,3.963002,10.514497,0.091213,0.120375,-0.144476,0.209006
1756078089725,2551,-3.358466,-9.141661,3.963002,10.514497,0.488823,0.357396,-0.198139,0.637133
1756078089737,2563,-4.736330,-8.690353,2.096124,10.116758,0.488823,0.357396,-0.198139,0.637133
1756078089784,2610,-4.736330,-8.690353,2.096124,10.116758,0.826645,-0.353534,0.027431,0.899489
1756078089794,2620,-3.877410,-9.000402,5.562329,11.268587,0.826645,-0.353534,0.027431,0.899489
1756078089849,2675,-5.304953,-12.516887,2.758120,13.871633,0.826645,-0.353534,0.027431,0.899489
1756078089860,2686,-5.304953,-12.516887,2.758120,13.871633,1.981124,-0.924782,0.150468,2.191510
